ambient_temperature_celsius,battery_voltage,datetime,document_count_ambient_temperature_celsius,document_count_battery_voltage,document_count_ghi_irradiance_wm2,document_count_gri_irradiance_wm2,document_count_panel_temperature_celsius,document_count_poa_irradiance_wm2,document_count_precipitation_accumulated_mm,document_count_tracker_albedo_index,document_count_wind_direction_degrees,document_count_wind_speed_ms,ghi_irradiance_wm2,gri_irradiance_wm2,interpolated_keys_ambient_temperature_celsius,interpolated_keys_ghi_irradiance_wm2,interpolated_keys_poa_irradiance_wm2,interpolated_keys_wind_speed_ms,panel_temperature_celsius,poa_irradiance_wm2,precipitation_accumulated_mm,ps_id,tracker_albedo_index,wind_direction_degrees,wind_speed_ms
,,2024-11-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PS_016,,,
,,2024-11-01T00:15:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PS_016,,,
,,2024-11-01T00:30:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PS_016,,,
,,2024-11-01T00:45:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PS_016,,,
,,2024-11-01T01:00:00Z,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,PS_016,,,
20.0,,2024-11-01T01:15:00Z,1,0,1,0,0,1,0,0,0,1,0.0,,,,,,,0.0,,PS_016,,,0.8
19.8,,2024-11-01T01:30:00Z,1,0,1,0,0,1,1,0,0,1,0.0,,,,,,,0.0,0.0,PS_016,,,1.1
19.700000000000003,,2024-11-01T01:45:00Z,1,0,1,0,0,1,1,0,0,1,0.0,,,,,,,0.0,0.0,PS_016,,,0.8
19.5,,2024-11-01T02:00:00Z,1,0,1,0,0,1,1,0,0,1,0.0,,,,,,,0.0,0.0,PS_016,,,0.7000000000000001
19.0,,2024-11-01T02:15:00Z,1,0,1,0,0,1,1,0,0,1,0.0,,,,,,,0.0,0.0,PS_016,,,0.9
18.900000000000002,,2024-11-01T02:30:00Z,1,0,1,0,0,1,1,0,0,1,0.0,,,,,,,0.0,0.0,PS_016,,,0.9
19.0,,2024-11-01T02:45:00Z,1,0,1,0,0,1,1,0,0,1,0.0,,,,,,,0.0,0.0,PS_016,,,0.6000000000000001
,,2024-11-01T03:00:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T03:15:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T03:30:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T03:45:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T04:00:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T04:15:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T04:30:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T04:45:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T05:00:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T05:15:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T05:30:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T05:45:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T06:00:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T06:15:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T06:30:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T06:45:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T07:00:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T07:15:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T07:30:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T07:45:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T08:00:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T08:15:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T08:30:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
,,2024-11-01T08:45:00Z,0,0,0,0,0,0,1,0,0,0,,,,,,,,,0.0,PS_016,,,
19.700000000000003,,2024-11-01T09:00:00Z,1,0,1,0,0,1,1,0,0,1,73.0,,,,,,,0.0,0.0,PS_016,,,0.8
20.3,,2024-11-01T09:15:00Z,1,0,1,0,0,1,1,0,0,1,90.0,,,,,,,0.0,0.0,PS_016,,,0.4
21.0,,2024-11-01T09:30:00Z,1,0,1,0,0,1,1,0,0,1,264.0,,,,,,,0.0,0.0,PS_016,,,0.0
21.3,,2024-11-01T09:45:00Z,1,0,1,0,0,1,1,0,0,1,164.0,,,,,,,0.0,0.0,PS_016,,,0.1
21.85,,2024-11-01T10:00:00Z,0,0,0,0,0,0,1,0,0,0,214.0,,true,true,true,true,,0.0,0.0,PS_016,,,0.30000000000000004
22.400000000000002,,2024-11-01T10:15:00Z,1,0,1,0,0,1,1,0,0,1,264.0,,,,,,,0.0,0.0,PS_016,,,0.5
22.3,,2024-11-01T10:30:00Z,1,0,1,0,0,1,1,0,0,1,296.0,,,,,,,0.0,0.0,PS_016,,,0.4
22.400000000000002,,2024-11-01T10:45:00Z,1,0,1,0,0,1,1,0,0,1,346.0,,,,,,,0.0,0.0,PS_016,,,0.7999999999999999
23.700000000000006,,2024-11-01T11:00:00Z,1,0,1,0,0,1,1,0,0,1,695.0,,,,,,,0.0,0.0,PS_016,,,1.7000000000000002
23.700000000000003,,2024-11-01T11:15:00Z,1,0,1,0,0,1,1,0,0,1,713.0,,,,,,,0.0,0.0,PS_016,,,2.2
23.8,,2024-11-01T11:30:00Z,1,0,1,0,0,1,1,0,0,1,333.0,,,,,,,0.0,0.0,PS_016,,,1.5
24.000000000000004,,2024-11-01T11:45:00Z,1,0,1,0,0,1,1,0,0,1,336.0,,,,,,,0.0,0.0,PS_016,,,1.9000000000000001
23.6,,2024-11-01T12:00:00Z,1,0,1,0,0,1,1,0,0,1,161.0,,,,,,,0.0,0.0,PS_016,,,0.9
24.2,,2024-11-01T12:15:00Z,1,0,1,0,0,1,1,0,0,1,1039.0,,,,,,,0.0,0.0,PS_016,,,4.1000000000000005
24.8,,2024-11-01T12:30:00Z,1,0,1,0,0,1,1,0,0,1,370.0,,,,,,,0.0,0.0,PS_016,,,3.8000000000000003
24.5,,2024-11-01T12:45:00Z,1,0,1,0,0,1,1,0,0,1,726.0,,,,,,,0.0,0.0,PS_016,,,3.3000000000000003
25.3,,2024-11-01T13:00:00Z,1,0,1,0,0,1,1,0,0,1,503.0,,,,,,,0.0,0.0,PS_016,,,2.5
25.900000000000002,,2024-11-01T13:15:00Z,1,0,1,0,0,1,1,0,0,1,439.0,,,,,,,0.0,0.0,PS_016,,,4.4
26.700000000000003,,2024-11-01T13:30:00Z,1,0,1,0,0,1,1,0,0,1,754.0,,,,,,,0.0,0.0,PS_016,,,1.4000000000000001
