date,DSS-0.Bus-149-V3_pu,DSS-0.Bus-97-V3_pu,DSS-0.Bus-450-V3_pu,DSS-0.Bus-114-V3_pu,DSS-0.Bus-149-V1_pu,DSS-0.Bus-97-V1_pu,DSS-0.Bus-450-V1_pu,DSS-0.Bus-114-V1_pu,DSS-0.Bus-149-V2_pu,DSS-0.Bus-97-V2_pu,DSS-0.Bus-450-V2_pu,DSS-0.Bus-114-V2_pu,DSS-0.Line-l115-Q1_var,DSS-0.Line-l115-I3_A,DSS-0.Line-l115-I1_ang,DSS-0.Line-l115-Q3_var,DSS-0.Line-l115-I1_A,DSS-0.Line-l115-I2_ang,DSS-0.Line-l115-P2_w,DSS-0.Line-l115-P1_w,DSS-0.Line-l115-I2_A,DSS-0.Line-l115-P3_w,DSS-0.Line-l115-Q2_var,DSS-0.Line-l115-I3_ang
2024-01-01,1.0000043053345558,1.0104801636411442,1.0104225320083167,0.0,1.0000034145924424,1.0081669463200804,1.0081694840771316,1.0065433469130773,1.0000044210027819,1.0141985226495207,1.0140369003679013,0.0,-148.31536855651396,95.30103656554844,36.726464921564634,-185.83508637251788,103.26458136097534,-58.88779769711359,105.11175433137907,198.78670036917362,90.59104162006373,133.63102331696803,-190.50662089472118,174.28051406806577
2024-01-01 00:05:00,1.0000043199577409,1.0108043345932387,1.010744587680058,0.0,1.0000034730484249,1.0084800034079193,1.0084932676626284,1.0070023732416613,1.000004399651053,1.0136039949458215,1.0133852112879107,0.0,-150.82662039224726,95.05033764731776,37.102748339979506,-186.44283829026568,104.09897876111681,-59.21883035210831,106.0455596480273,199.40671501345884,90.4502210152755,131.74109995071834,-189.6009612737475,174.75467290396847
2024-01-01 00:10:00,1.000004393709034,1.011063677259516,1.011036039120085,0.0,1.0000035055824836,1.0081588621469884,1.0081503345671798,1.0065079199865967,1.0000044423403178,1.0136323879722446,1.0134151828333728,0.0,-152.23005237746543,95.05530464198262,37.23089308202805,-189.5583164016555,104.75810727529142,-58.03671533198104,101.92015788244187,200.32934287278536,90.28074682432592,127.23894350042642,-191.38908890859722,176.12877294232842
2024-01-01 00:15:00,1.000004363021523,1.0110097315084847,1.0109842499486985,0.0,1.0000034790701513,1.0079801918078075,1.0079642923361376,1.0061871558914655,1.000004510860125,1.014142438270672,1.0139261715909478,0.0,-151.09160592761634,94.91809624572328,37.05551601025376,-188.25659533749058,104.3956803556196,-57.18548195739506,99.79596505856284,200.0996820656448,90.94634840487122,128.57368153930346,-194.30416769815284,175.66790612920568
2024-01-01 00:20:00,1.0000043937099132,1.0110764289406604,1.0110371453495492,0.0,1.0000035111152872,1.0081442205031919,1.0081398029404476,1.006286610516009,1.000004541894071,1.0143569649958304,1.0141626384277453,0.0,-152.42605957431397,94.82587971468406,37.83995462996473,-189.5485835474901,103.45170276580657,-56.611939346090026,98.00771496641121,196.22192404352313,91.09667506781777,126.26218340579348,-195.61619987207328,176.33143389729415
2024-01-01 00:25:00,1.0000043986341844,1.0110859121019282,1.0110286897539906,0.0,1.000003580633924,1.0084085173268533,1.008409117200264,1.0067002103220266,1.0000045124756913,1.0143009206682354,1.0141396828673535,0.0,-155.32815952389475,94.74424333363963,39.48558816388743,-189.7529819421023,101.70343641174516,-57.22682594567753,100.00994584187147,188.52301705394405,91.0135095974287,125.59990953906839,-194.37554096451368,176.49874809840549
2024-01-01 00:30:00,1.0000044291594565,1.01131645217226,1.0112459376658498,0.0,1.0000034748898123,1.0081474345779893,1.0081678501085147,1.0065635993566748,1.0000044528869276,1.0142812830897945,1.0141120361151232,0.0,-150.88405219681337,94.94954010712226,37.412101356653814,-191.05032880549453,103.4020225223789,-58.17520637704881,102.76131401936242,197.2598905941098,90.614812555481,124.52291134452786,-191.849463521184,176.9042995061349
2024-01-01 00:35:00,1.0000043467376614,1.0111355087541476,1.0110701633293406,0.0,1.0000035120979618,1.0085732569562063,1.0085908766643674,1.0071846310014907,1.0000043546675548,1.0137989705207895,1.0136301487288895,0.0,-152.46596502216218,95.31105982033374,37.878433031356764,-187.58509476597143,103.38942673024246,-59.499450672506015,106.17816843328497,196.00145491219246,89.77824394359041,131.20513506643567,-187.67457970167945,175.0292150968786
2024-01-01 00:40:00,1.0000043661632398,1.011667815577788,1.0116252246321367,0.0,1.000003553676241,1.0086136199778482,1.0086287881034777,1.0072139084129406,1.0000043721384162,1.0134512538799332,1.0132396280969598,0.0,-154.21698633124478,94.968201773056,38.636960488268166,-188.39138949245174,102.83572267159848,-60.14534254054009,109.4427701099994,192.92710235804051,90.73645858936291,128.58968195986057,-188.45592459637754,175.68368340696955
2024-01-01 00:45:00,1.0000043311449118,1.0117646474517836,1.0117672812215592,0.0,1.0000035933796663,1.0086482976740656,1.0086352561343734,1.0071415232892453,1.0000043658114102,1.013038160213258,1.0128194612691261,0.0,-155.89737471429214,94.6376023940148,39.24760144008675,-186.89843083426433,102.5942244175167,-60.411851893192996,110.46503108492256,190.82341179020182,90.85724814904293,129.35996098241665,-188.19501445326856,175.31114976782106
2024-01-01 00:50:00,1.0000044173363167,1.0120741480874964,1.012099024005936,0.0,1.000003671162756,1.0088773494458814,1.0088519736428976,1.0072901078009449,1.0000044986222425,1.013387191785438,1.0131413575752262,0.0,-159.15776154015478,94.13550582136891,40.93064252821269,-190.51588178132008,101.14722139348311,-58.63183343078555,105.82413407926038,183.53670648685085,91.9504280488632,121.74551648728902,-193.84002579674504,177.42000382303527
2024-01-01 00:55:00,1.000004441003463,1.0121039033192454,1.0121302114864463,0.0,1.0000037051579918,1.0090315244960375,1.0090057726727146,1.0073594928483387,1.0000045216120248,1.01360569538892,1.0133567110103696,0.0,-160.57216034464284,94.38760039863836,41.84635160709358,-191.52551416239146,100.2120504452476,-57.81510627803603,102.76860908675637,179.29653464150553,91.69900333347655,121.28646910252114,-194.79465978782864,177.65517247708155
2024-01-01 01:00:00,1.0000043846987015,1.0113496065240895,1.0113475287337934,0.0,1.0000037025079338,1.0093577720279365,1.009342797111302,1.007723867998842,1.0000045414115577,1.0137739256666194,1.013573043124487,0.0,-160.42993560758288,94.89272748063546,42.28011187301978,-189.17095426868556,99.28684345742687,-57.40430572799383,101.42284889256572,176.4317164196133,91.7474034501835,127.11535044886797,-195.62968183887878,176.10029812421084
2024-01-01 01:05:00,1.000004309291625,1.0108211048293596,1.0107986856074047,0.0,1.0000036334629134,1.0093744806084326,1.0093796159256259,1.00775711421645,1.0000044685857472,1.0134792147370533,1.0132697144832383,0.0,-157.53837254647914,95.70530351081317,40.69973002249594,-186.01870390886893,100.58637082072501,-58.21984010727877,103.31773244639055,183.15540384910216,90.97318249738916,135.03483912855432,-192.52778121996892,174.02314047554117
