date,PVSimulator-0.PVPanel_0-P_dc,PVSimulator-0.PVPanel_0-temperature,PVSimulator-0.PVPanel_0-irradiance,InverterSim-0.Inverter_0-P_ac,InverterSim-0.Inverter_0-Q_ac,DSS-0.PVSystem-pv-P_meas,DSS-0.PVSystem-pv-Q_meas,DSS-0.PVSystem-pv-Q3,DSS-0.PVSystem-pv-Q1,DSS-0.PVSystem-pv-P3,DSS-0.PVSystem-pv-Q2,DSS-0.PVSystem-pv-P2,DSS-0.PVSystem-pv-P1,DSS-0.Bus-149-V1_pu,DSS-0.Bus-97-V1_pu,DSS-0.Bus-149-V3_pu,DSS-0.Bus-97-V3_pu,DSS-0.Bus-149-V2_pu,DSS-0.Bus-97-V2_pu,DSS-0.Line-l115-P2_w,DSS-0.Line-l115-I1_ang,DSS-0.Line-l115-Q1_var,DSS-0.Line-l115-Q2_var,DSS-0.Line-l115-I3_A,DSS-0.Line-l115-I2_A,DSS-0.Line-l115-I1_A,DSS-0.Line-l115-I3_ang,DSS-0.Line-l115-P3_w,DSS-0.Line-l115-P1_w,DSS-0.Line-l115-I2_ang,DSS-0.Line-l115-Q3_var
2026-01-01,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000010383243785,0.9989623022104147,1.0000027661941033,1.003783865989911,1.00000299538158,1.0114946656424952,196.37172651343303,7.338885017464411,-48.242817535375295,-130.3265252993308,116.09044572759468,98.128632264345,157.23554840611223,145.73130368875164,251.17522000668885,374.5510356697864,-86.42912632105791,-121.05335258585302
2026-01-01 00:05:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000011504172097,0.9995615278952548,1.000002794159211,1.0044037618565944,1.0000029536351362,1.010354736362528,198.19630870698938,8.037019484565901,-53.05831447044548,-128.55579621231308,114.9776313263013,98.35935706069655,157.99597043366725,146.26763865269265,247.63435522494046,375.74388549612115,-87.03167091767338,-122.21632694525977
2026-01-01 00:10:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000012096917383,0.998947116788882,1.0000029353600022,1.0049035607368253,1.0000030348777842,1.010403357761556,190.39432028788312,8.381306105101917,-55.615576135443,-131.9592767997983,112.97612226017321,96.4504939120637,158.85398159396618,148.18974519230252,239.15886132668547,377.45704237199556,-85.2750417823999,-128.1824776687887
2026-01-01 00:15:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000011582205788,0.9986014104637132,1.0000028783281951,1.004806394306265,1.0000031660211286,1.0113773223902753,186.3367430042692,8.06259014326277,-53.40513317669893,-137.53864244635733,113.43321461303275,96.4280228522989,158.52767312629368,147.49111939274871,241.67786220479397,376.98457831371275,-83.56852106881185,-125.76366673266278
2026-01-01 00:20:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000012221252976,0.9989194414217899,1.0000029383256135,1.0049362170850922,1.0000032257233025,1.0117885035366179,182.9224116912737,8.624847799408057,-56.07016597361108,-140.06293559317453,112.2771203594526,95.9233043281263,155.66339005314185,148.40705080050222,237.1942947611871,369.64081794751087,-82.55911490201474,-128.2899079755384
2026-01-01 00:25:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000013583405722,0.9994273511436473,1.000002947538873,1.004948683786212,1.000003169892374,1.0116873923571947,186.69602955909218,9.865211205568343,-61.76230005871456,-137.70813356958783,111.86943188400777,96.59029220449987,150.08374648163823,148.61270041120508,235.87271121906875,355.13763537215794,-83.5875389428266,-128.67150567378934
2026-01-01 00:30:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000011556953676,0.9989295195946515,1.0000030063390573,1.005390603379541,1.0000030559012967,1.0116485068816559,191.89661928761964,8.150207349777785,-53.24460089301376,-132.87523882734087,111.62418116195539,97.18183235013078,156.36358257093767,149.29200637026057,233.81692184058537,371.7573102683451,-85.30031482958522,-131.17073318398883
2026-01-01 00:35:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000012290176281,0.9997543163022393,1.000002847022116,1.0050381080740538,1.0000028689435694,1.0107268317006668,198.39402302224605,8.677706923665841,-56.361767893568164,-124.92844034797987,114.98564833010647,97.61538406832427,155.52710305957027,146.78839295654842,246.5305378701221,369.2653513844995,-87.8017028296097,-124.47064490649339
2026-01-01 00:40:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000013092058933,0.9998300879370342,1.0000028852695784,1.0060551199954972,1.0000028997800323,1.0100554069892766,204.6306858955285,9.333013107713528,-59.74019425345636,-126.31228819697071,113.45429928031793,100.12373572299951,153.36771384472857,147.55587430458058,241.5804694476509,363.4789115521832,-88.31450567579091,-126.06015510945213
2026-01-01 00:45:00,0.0,25.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,1.0000013851395337,0.9999026679241856,1.0000028182148926,1.00624173499327,1.0000028861842787,1.009258593605345,206.61820006398656,9.934281370265076,-62.95358768750211,-125.74954671565442,113.45553543588282,100.70683134769942,151.92551528315417,146.8796029926797,243.0541433069564,359.42011886251476,-88.67523801490368,-123.2013695013113
