hour, t(sec), Irradiance,PanelkW,P_TFactor,Efficiency,Vreg,Vavg (DRC),volt-var,volt-watt,DRC,VV_DRC,watt-pf,watt-var,kW_out_desired,Grid voltage,di/dt,it,it History,Rated VDC,Avg duty cycle,Target (Amps),Series L,Max. Amps (phase),
0, 900.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
0, 1800.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
0, 2700.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
1, 0.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
1, 900.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
1, 1800.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
1, 2700.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
2, 0.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
2, 900.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
2, 1800.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
2, 2700.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
3, 0.00000, 0, 0, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0, 0, 0, 0, 0, 8000, 0, 0, 0, 0
3, 900.00000, 0.000853333, 0.426667, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 0.426667, 0, 0, 0, 0, 8000, 0, 0, 0, 0
3, 1800.00000, 0.00621762, 3.10881, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 3.10881, 0, 0, 0, 0, 8000, 0, 0, 0, 0
3, 2700.00000, 0.019748, 9.87402, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9.87402, 0, 0, 0, 0, 8000, 0, 0, 0, 0
4, 0.00000, 0.0433167, 21.6583, 1, 1, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 9999, 21.6583, 0, 0, 0, 0, 8000, 0, 0, 0, 0
