date,DSS-0.Line-650632-I1_ang,DSS-0.Line-650632-I1_A
2025-01-01,-17.03084024252545,235.46633876194608
2025-01-01 00:10:00,-15.69663299787986,221.25348293343615
2025-01-01 00:20:00,-14.282862993992364,207.0970092280384
2025-01-01 00:30:00,-13.200019735360703,199.12879667101848
2025-01-01 00:40:00,-11.888635047354148,188.07134086895047
2025-01-01 00:50:00,-10.159047883559683,176.22844887456742
2025-01-01 01:00:00,-8.837506353552746,166.96341969167582
2025-01-01 01:10:00,-7.6713754377492,160.77257141337697
2025-01-01 01:20:00,-7.523711163818176,159.82657910153605
2025-01-01 01:30:00,-7.158025776328897,157.33875528043097
2025-01-01 01:40:00,-7.458275741325567,159.24132433575355
2025-01-01 01:50:00,-7.13521291288106,156.68854574144342
2025-01-01 02:00:00,-6.392236385900206,151.93187266707125
2025-01-01 02:10:00,-5.94827576572952,149.8221337865905
2025-01-01 02:20:00,-4.123899301727354,141.59381888780533
2025-01-01 02:30:00,-2.8958108829022877,137.14736150781994
2025-01-01 02:40:00,-1.55742043355468,132.89484171369287
2025-01-01 02:50:00,0.25231158936298576,127.09827744105732
2025-01-01 03:00:00,1.9846683757530699,121.99577745803909
2025-01-01 03:10:00,6.8187857056337275,110.90498201723845
2025-01-01 03:20:00,11.420100516262266,102.92766309122952
2025-01-01 03:30:00,13.789601973234774,98.46569489302992
2025-01-01 03:40:00,14.647593663972826,96.92800899938109
2025-01-01 03:50:00,16.86511010889196,93.83442907511645
2025-01-01 04:00:00,19.250358754959617,90.91553389903574
2025-01-01 04:10:00,24.191342360825754,85.58070962166944
2025-01-01 04:20:00,32.448645732140875,79.53661222190526
2025-01-01 04:30:00,38.491483529880696,76.73502085349429
2025-01-01 04:40:00,48.0892055173996,73.93546701985719
2025-01-01 04:50:00,61.224608788294944,72.86387583530241
2025-01-01 05:00:00,70.62474551729171,74.84764972721452
2025-01-01 05:10:00,69.90779953257481,74.98463513657299
2025-01-01 05:20:00,73.0921584733832,76.07440808262777
2025-01-01 05:30:00,74.91303848846294,76.85222134818673
2025-01-01 05:40:00,72.21217410204738,76.0276778479588
2025-01-01 05:50:00,65.27962213517804,74.09600187336459
2025-01-01 06:00:00,63.54552746875182,73.05676582428354
2025-01-01 06:10:00,56.01346839502357,73.08510638839888
2025-01-01 06:20:00,54.34338266489705,73.54080892140428
2025-01-01 06:30:00,48.83615033208413,74.31549683746024
2025-01-01 06:40:00,46.66021376392393,74.79512229642631
2025-01-01 06:50:00,38.47020845771606,77.66683548782657
2025-01-01 07:00:00,32.368900077621895,78.17280955598811
2025-01-01 07:10:00,27.155751707642995,83.09295973807878
2025-01-01 07:20:00,27.522581094988297,83.07240271826606
2025-01-01 07:30:00,29.302665360450252,82.44901722733704
2025-01-01 07:40:00,25.17867912714189,83.9710690811571
2025-01-01 07:50:00,17.723862006806545,92.51314043553346
2025-01-01 08:00:00,12.560398097231662,100.66779492841874
2025-01-01 08:10:00,8.197471191690887,108.48782819065472
2025-01-01 08:20:00,3.5070281824774217,120.29536447188482
2025-01-01 08:30:00,-0.2704009949888578,131.34613944160967
2025-01-01 08:40:00,-2.7877938376477727,140.20786980352548
2025-01-01 08:50:00,-5.596349272819856,153.88639045172553
2025-01-01 09:00:00,-8.30511132740878,168.39554428916333
2025-01-01 09:10:00,-10.514418232046742,180.2092197853326
2025-01-01 09:20:00,-10.307036250754038,172.99698095060052
2025-01-01 09:30:00,-10.621711145850185,166.4762181817031
2025-01-01 09:40:00,-11.814421990175832,177.55584351279563
2025-01-01 09:50:00,-13.705497350182263,200.3221591521776
2025-01-01 10:00:00,-15.18802632154585,217.80650027997663
2025-01-01 10:10:00,-17.0392464098538,243.92556652996043
2025-01-01 10:20:00,-17.98715662339329,258.79360150772567
2025-01-01 10:30:00,-18.764451123547403,271.34472193859347
2025-01-01 10:40:00,-19.12377801030414,278.0746979256361
2025-01-01 10:50:00,-19.577466825298092,287.44480163626434
2025-01-01 11:00:00,-20.003906913300657,295.7526652069066
2025-01-01 11:10:00,-20.415868905713623,302.06818067501064
2025-01-01 11:20:00,-20.689617076702543,308.6328556799788
2025-01-01 11:30:00,-21.38362445792192,322.84651960187125
2025-01-01 11:40:00,-21.626903585938596,326.06980899920194
2025-01-01 11:50:00,-21.46142071574505,321.89941739700026
2025-01-01 12:00:00,-21.55194561143987,324.88728084094816
2025-01-01 12:10:00,-21.682307033609526,329.0950081126641
2025-01-01 12:20:00,-21.661657671903345,328.0166923120338
2025-01-01 12:30:00,-21.655150409828313,326.2541504144278
2025-01-01 12:40:00,-21.696603359010048,326.5278704800856
2025-01-01 12:50:00,-21.716736160848352,327.7689144307527
2025-01-01 13:00:00,-21.687778961009275,327.90871021338916
2025-01-01 13:10:00,-21.883665187118048,332.8997055190878
2025-01-01 13:20:00,-21.811024815015113,329.1159608987004
2025-01-01 13:30:00,-21.898277414886866,329.1212648471743
2025-01-01 13:40:00,-21.80108854796768,325.9618449453137
2025-01-01 13:50:00,-21.680794843516985,323.18084339916993
2025-01-01 14:00:00,-21.551628723724743,320.02521596321486
2025-01-01 14:10:00,-21.654991805060586,324.26397095815577
2025-01-01 14:20:00,-21.551950781293176,320.9589234825803
2025-01-01 14:30:00,-21.271955701554802,316.3131868376473
2025-01-01 14:40:00,-21.234807477290953,314.0401739133656
2025-01-01 14:50:00,-20.339738759060168,308.4903330696458
2025-01-01 15:00:00,-20.185263159952502,310.53006423622634
2025-01-01 15:10:00,-20.00202531000811,307.88995465505224
2025-01-01 15:20:00,-20.002279085083355,306.2514106725442
2025-01-01 15:30:00,-19.944064339105903,305.28017700805447
2025-01-01 15:40:00,-19.821381342642432,300.6204115579248
2025-01-01 15:50:00,-19.31425706068093,291.89103611171686
2025-01-01 16:00:00,-19.18455638437512,292.0431457381891
2025-01-01 16:10:00,-19.109471611997016,291.0778599205853
2025-01-01 16:20:00,-19.034985031053456,288.82209781486387
2025-01-01 16:30:00,-18.976149319488027,287.752075246702
2025-01-01 16:40:00,-18.93090793797101,284.7780931253114
2025-01-01 16:50:00,-19.087406932172186,288.81992013482926
2025-01-01 17:00:00,-19.41857569244453,295.1694086511618
2025-01-01 17:10:00,-20.37362563397228,315.6030377285158
2025-01-01 17:20:00,-21.501832045130772,342.3829184724227
2025-01-01 17:30:00,-22.4569172965778,365.38603179456794
2025-01-01 17:40:00,-23.509768413576843,379.61317638465346
2025-01-01 17:50:00,-24.145317671900873,391.56970255820994
2025-01-01 18:00:00,-24.230935990806795,395.5917292789465
2025-01-01 18:10:00,-24.345153299754568,402.13963649162537
2025-01-01 18:20:00,-24.3804601882359,403.8995030366996
2025-01-01 18:30:00,-24.768172390344183,418.15096553838714
2025-01-01 18:40:00,-25.112235618737607,430.22291542922545
2025-01-01 18:50:00,-25.549705797874825,445.4989057020602
2025-01-01 19:00:00,-25.98016609830017,469.90929775683287
2025-01-01 19:10:00,-26.69367289144933,511.09101564510746
2025-01-01 19:20:00,-27.027320488797017,525.0800631645847
2025-01-01 19:30:00,-27.31978460230462,526.0690640231293
